Student,Paper,Country,Site,Latitude,Longitude,Biome,Study_Type,Experimental_Unit,Database,Response_Type,Genus,Species,Experimental_Treatment,Magnitude,Year_Sampled_Start,Year_Sampled_End,Mean_Sample_Year,Total_Years,Range_Years,Data_Thief,Method,Mean_LeafFall,LeafFall50_measured,LeafFall80_measured,LeafFall90_measured,LeafFall10_fit,LeafFall50_fit,LeafFall75_fit,LeafFall80_fit,LeafColor_50,ColorChange_10_90,LeafColor_measured,LeafFall100_meaured,LeafFall100_fit,LAI_zero,LeafFall75_measured,LeafFall_1_50_BBCH94,EddyCovariance,ColorChange_10_90,Px_40,Increase_PAR_ratio,Increase_PAR_trans,Px_0,Plateau_PAR_trans,Plateau_PAR_ratio,NDVI,NDVI_0.6,Photo_Green_Index,Photo_Peak Red_Index,SPAD,Begin_Abscisission,Pheno_Scale_4,Landsat_50cover,Chlorophyll_50,Amax_50,Peak_color_change,50_percent_green,50_percent_yellow,Zero_green,Vitasse_Date,NDII_0.2,MTCI,LeafFall87.5_measured,Reported_slope_yr,Reported_slope_C
Gill,Matsumoto_2010_IntJClimatol,Japan,3,40.53333333,141.5166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.163,0.46
Gill,Matsumoto_2010_IntJClimatol,Japan,4,39.71666667,140.1,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.06,0.37
Gill,Matsumoto_2010_IntJClimatol,Japan,6,38.75,139.85,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.222,0.2
Gill,Matsumoto_2010_IntJClimatol,Japan,7,38.25,140.3166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.202,0.52
Gill,Matsumoto_2010_IntJClimatol,Japan,8,38.26666667,140.35,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.334,0.55
Gill,Matsumoto_2010_IntJClimatol,Japan,9,37.13333333,140.9,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.321,0.39
Gill,Matsumoto_2010_IntJClimatol,Japan,10,36.95,140.2166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.195,0.26
Gill,Matsumoto_2010_IntJClimatol,Japan,11,36.95,140.9,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.043,0.31
Gill,Matsumoto_2010_IntJClimatol,Japan,12,37.91666667,139.05,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.459,0.44
Gill,Matsumoto_2010_IntJClimatol,Japan,13,37.1,138.25,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.208,0.28
Gill,Matsumoto_2010_IntJClimatol,Japan,14,36.55,139.8666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.405,0.38
Gill,Matsumoto_2010_IntJClimatol,Japan,15,36.4,139.0666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.552,0.42
Gill,Matsumoto_2010_IntJClimatol,Japan,16,36.38333333,140.4666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.356,0.35
Gill,Matsumoto_2010_IntJClimatol,Japan,17,36.15,139.3833333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.147,0.31
Gill,Matsumoto_2010_IntJClimatol,Japan,18,35.68333333,139.7666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.276,0.51
Gill,Matsumoto_2010_IntJClimatol,Japan,20,35.43333333,139.65,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.451,0.37
Gill,Matsumoto_2010_IntJClimatol,Japan,22,35.66666667,138.55,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.242,0.62
Gill,Matsumoto_2010_IntJClimatol,Japan,23,36.66666667,138.2,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.166,0.42
Gill,Matsumoto_2010_IntJClimatol,Japan,24,36.25,137.9666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.199,0.47
Gill,Matsumoto_2010_IntJClimatol,Japan,25,35.51666667,137.8166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.07,0.25
Gill,Matsumoto_2010_IntJClimatol,Japan,26,37.4,136.9,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.174,0.22
Gill,Matsumoto_2010_IntJClimatol,Japan,27,36.71666667,137.2,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.132,0.33
Gill,Matsumoto_2010_IntJClimatol,Japan,28,36.58333333,136.6333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.065,0.34
Gill,Matsumoto_2010_IntJClimatol,Japan,29,36.05,136.2166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.099,0.17
Gill,Matsumoto_2010_IntJClimatol,Japan,32,34.71666667,137.7166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.289,0.35
Gill,Matsumoto_2010_IntJClimatol,Japan,33,35.16666667,136.9666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.129,0.22
Gill,Matsumoto_2010_IntJClimatol,Japan,34,35.4,136.7666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.593,0.41
Gill,Matsumoto_2010_IntJClimatol,Japan,35,36.15,137.25,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.117,0.42
Gill,Matsumoto_2010_IntJClimatol,Japan,36,34.73333333,136.5166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.439,0.51
Gill,Matsumoto_2010_IntJClimatol,Japan,37,35.28333333,136.25,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.396,0.32
Gill,Matsumoto_2010_IntJClimatol,Japan,38,35.01666667,135.7333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.459,0.37
Gill,Matsumoto_2010_IntJClimatol,Japan,39,35.45,135.3166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.188,0.23
Gill,Matsumoto_2010_IntJClimatol,Japan,40,34.23333333,135.1666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.038,0.26
Gill,Matsumoto_2010_IntJClimatol,Japan,41,34.7,135.8333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.583,0.37
Gill,Matsumoto_2010_IntJClimatol,Japan,42,34.33333333,134.9,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.053,0.2
Gill,Matsumoto_2010_IntJClimatol,Japan,43,35.53333333,134.8166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.363,0.19
Gill,Matsumoto_2010_IntJClimatol,Japan,44,35.48333333,134.2333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.421,0.25
Gill,Matsumoto_2010_IntJClimatol,Japan,45,35.43333333,133.3333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.331,0.35
Gill,Matsumoto_2010_IntJClimatol,Japan,46,36.2,133.3333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.4,0.24
Gill,Matsumoto_2010_IntJClimatol,Japan,47,34.9,132.0666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.367,0.27
Gill,Matsumoto_2010_IntJClimatol,Japan,48,34.66666667,133.9166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.413,0.68
Gill,Matsumoto_2010_IntJClimatol,Japan,49,34.4,132.4666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.05,0.4
Gill,Matsumoto_2010_IntJClimatol,Japan,50,34.31666667,134.05,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.25,0.42
Gill,Matsumoto_2010_IntJClimatol,Japan,51,33.58333333,132.7833333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.046,0.37
Gill,Matsumoto_2010_IntJClimatol,Japan,52,33.26666667,129.3,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.045,0.28
Gill,Matsumoto_2010_IntJClimatol,Japan,53,33.58333333,130.3833333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.036,0.38
Gill,Matsumoto_2010_IntJClimatol,Japan,54,33.26666667,129.8666667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0,0.24
Gill,Matsumoto_2010_IntJClimatol,Japan,55,32.73333333,128.8333333,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.165,0.26
Gill,Matsumoto_2010_IntJClimatol,Japan,56,32.7,131.6166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.081,0.25
Gill,Matsumoto_2010_IntJClimatol,Japan,57,33.23333333,131.65,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.394,0.36
Gill,Matsumoto_2010_IntJClimatol,Japan,58,32.58333333,131.4166667,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.035,0.2
Gill,Matsumoto_2010_IntJClimatol,Japan,59,31.93333333,130.7,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.356,0.48
Gill,Matsumoto_2010_IntJClimatol,Japan,60,32.81666667,138.4,temperate,Observational,individual tree,TRUE,slope,Ginkgo,biloba,reference,na,1961,2000,na,30,40,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.371,0.4
Gill,Menzel_etal_2001_GlobalChangeBiol,Germany,2000 weather stations throughout Germany,na,na,temperate,Observational,individual tree,TRUE,slope,Aesculus,hippocastanum,reference,na,1951,1996,na,46,46,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,-0.01,na
Gill,Menzel_etal_2001_GlobalChangeBiol,Germany,2000 weather stations throughout Germany,na,na,temperate,Observational,individual tree,TRUE,slope,Betula,pendula,reference,na,1951,1996,na,46,46,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.1,na
Gill,Menzel_etal_2001_GlobalChangeBiol,Germany,2000 weather stations throughout Germany,na,na,temperate,Observational,individual tree,TRUE,slope,Fagus,sylvatica,reference,na,1951,1996,na,46,46,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.07,na
Gill,Menzel_etal_2001_GlobalChangeBiol,Germany,2000 weather stations throughout Germany,na,na,temperate,Observational,individual tree,TRUE,slope,Quercus,robur,reference,na,1951,1996,na,46,46,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.23,na
Gill,Jukneys_etal_2011_EnvironEng,Lithuania,Vytautus Magnus University,54.08333333,23.08333333,temperate,Observational,individual tree,FALSE,slope,Tilia,cordata,reference,na,1956,2010,na,46,56,FALSE,ground_observation_color,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.18,
Gill,Jukneys_etal_2011_EnvironEng,Lithuania,Vytautus Magnus University,54.08333333,23.08333333,temperate,Observational,individual tree,FALSE,slope,Tilia,cordata,reference,na,1956,2011,na,46,56,FALSE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.21,
Gill,Doi_2012_IntJBiometeorol,Japan,Japan Meteorological Sites,na,na,temperate,Observational,individual tree,TRUE,slope,Morus,bombycis,reference,na,1953,2005,na,52,52,TRUE,ground_observation_leaffall,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,0.243,
Gill,Dragoni_and_Rahman_2012_AgrForMeteorol,United States,28.25,28.25,na,temperate,Observational,multiple tree,FALSE,slope,mixed,na,reference,na,1989,2008,na,20,20,FALSE,remote_sensing,,na,na,na,,,,,na,na,na,na,,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,,,,,na,na,,1.91,
